competitor,metric,direction,num_paired_seeds,spcauchy_minus_competitor_mean,paired_difference_std,paired_t_ci_low,paired_t_ci_high,paired_t_p_value,paired_wilcoxon_p_value,is_primary_metric,secondary_bh_q_value
vmf_robust,test_observed_ssim,higher,5,0.0018002913881230986,0.004204567443748131,-0.003420368634798586,0.007020951411044783,0.39256899432493025,0.625,False,0.5092786953404501
vmf_robust,pose_test_observed_mean_error_degrees,lower,5,0.3592464520915115,1.2357052185071333,-1.1750842301213116,1.8935771343043346,0.5510920226198189,0.8125,False,0.6426111812275307
vmf_robust,pose_test_gap_mean_error_degrees,lower,5,-0.9745606626934602,1.073317154472461,-2.3072599320564233,0.3581386066695027,0.11217105835264161,0.3125,False,0.1948609583107481
vmf_robust,pose_test_gap_median_error_degrees,lower,5,-0.6539894104003906,1.5721380413513963,-2.606056616553,1.2980777957522185,0.4049338060677331,0.625,False,0.5114953339802945
vmf_robust,pose_test_gap_q90_error_degrees,lower,5,0.2657589721679642,0.525956077002126,-0.3873017532820624,0.9188196976179908,0.32169942178736405,0.4375,False,0.4618587890069922
vmf_robust,geometry_test_spearman,higher,5,-0.002820058737792873,0.004527358521211934,-0.008441516820542765,0.0028013993449570182,0.23609319507260595,0.3125,False,0.35413979260890893
vmf_robust,geometry_test_cross_gap_spearman,higher,5,-0.0009486472957751235,0.0033615860176410195,-0.005122607630745141,0.0032253130391948943,0.5622847835740893,0.8125,False,0.6426111812275307
vmf_robust,interpolation_interior_pixel_mse,lower,5,0.00010425655287906038,0.00015545124499077205,-8.87616615019345e-05,0.0002972747672600552,0.20808242836344254,0.3125,False,0.3221921471433949
vmf_robust,interpolation_interior_psnr_db,higher,5,-0.04927446326503073,0.03311936666765371,-0.09039758849956611,-0.00815133803049535,0.02919302615058082,0.0625,False,0.06896059167836438
vmf_robust,interpolation_interior_ssim,higher,5,-0.0010377016089580637,0.0032607104214534264,-0.005086408347844605,0.0030110051299284775,0.5160040797876234,0.625,False,0.6324781923373836
