kappa,epsilon,objective,family,seeds,forward_kl_mean,forward_kl_sd,reverse_kl_mean,reverse_kl_sd,heldout_nll_mean,heldout_nll_sd,tail_probability_mean,tail_probability_sd,tail_calibration_absolute_error_mean,tail_calibration_absolute_error_sd,central_calibration_absolute_error_mean,central_calibration_absolute_error_sd,joint_mass_calibration_absolute_error_mean,joint_mass_calibration_absolute_error_sd,theta_q50_rad_mean,theta_q50_rad_sd,theta_q90_rad_mean,theta_q90_rad_sd,theta_q99_rad_mean,theta_q99_rad_sd,fitted_local_curvature_mean,fitted_local_curvature_sd,location_cosine_mean,location_cosine_sd
20,0.01,reverse_kl,spcauchy,3,0.012537782799780892,2.626808047232363e-05,0.010070900022432312,9.672991027719694e-05,-13.79112478826822,0.003843079237693618,0.0020169999916106462,5.0999922677874565e-05,0.003415666753426194,9.317926596774235e-05,7.0000001718047615e-06,5.567764144585183e-06,0.003422666753597999,9.069384750602203e-05,1.068685577174954,0.00028206967111132095,1.2797419654597524,0.0004507278353241603,1.4676706443156615,0.0013779785402529018,29.70713958105397,0.026194674991547585,0.9999968975087269,3.758697171601346e-07
20,0.01,reverse_kl,vmf,3,0.014036183594040305,0.00031515439669395096,0.004655926504055634,5.136776417579078e-06,-13.789626387473964,0.0041149648866965665,0.0005633333348669112,1.2220205990190845e-05,0.004869333410169929,0.00013219069642116777,2.3333332137553953e-06,1.5275251905825671e-06,0.004871666743383685,0.00013147387442125,1.0690959372795614,0.0002861798652115453,1.2563987410028745,0.00022035141474805332,1.4185738552749163,0.0007407433067306878,19.86769786524876,0.01629117004581752,0.9999961567912977,1.0508957994674782e-06
20,0.05,forward_kl,powerspherical,3,0.19753093798578059,0.00039261801260329456,0.0674806386230276,1.3064131743876993e-05,-13.330929062765229,0.0029068508720037148,0.0002523333338710169,9.86576414791278e-06,0.025059333517371368,4.350139846963057e-05,9.999999216840176e-07,9.99999883788407e-07,0.02506033351729305,4.3662015161677106e-05,1.1037817823823668,5.9575020602713415e-05,1.2749569418279865,0.0001750721617671815,1.416470386344619,0.000565027303446718,12.833323283130605,0.01328845839387023,0.9999953293247348,9.07358996738161e-07
20,0.05,forward_kl,spcauchy,3,0.06032151921778723,0.00021335531254713775,0.02826917504974115,0.00025836747814271673,-13.468138481533224,0.002696384815276596,0.0028280000357578197,3.803939091029585e-05,0.022483666815484565,6.652359679172648e-05,4.333333360288331e-06,5.131601489261243e-06,0.02248800014884485,7.163141606852262e-05,1.0870229589296958,0.0003860677809789304,1.299740884128013,8.726767825152563e-05,1.4883962324692124,0.0009480919029934302,27.843386603311547,0.016591749287041473,0.9999960103437072,6.661678474284439e-07
20,0.05,forward_kl,vmf,3,0.09930608754384895,0.00023437180635590182,0.03811870689064134,0.00029165255230191573,-13.429153913207164,0.002740234568216206,0.00112399998276184,2.3643186069496518e-05,0.024187666868480544,5.672200338066086e-05,2.6666666599339806e-06,2.081665912290347e-06,0.02419033353514048,5.5411048019893483e-05,1.093564219892785,0.00033609391740329985,1.2847935013791751,0.00032944240951469033,1.4501193598410325,0.000704002686956774,18.49750564535208,0.005281965091079397,0.9999957386243233,7.139001702172456e-07
20,0.05,reverse_kl,powerspherical,3,0.2225615129580091,0.00042563562795111575,0.04887804427299802,0.00012590179018384816,-13.305898487793002,0.0029074632830723337,7.933333351199205e-05,1.2897028404410467e-05,0.025232333517730392,4.6918796956492966e-05,1.6666666245631252e-06,5.773502349134185e-07,0.025234000184354954,4.635773559100517e-05,1.0749605427369544,0.0004082935182884065,1.2422344583380551,0.0004040613908257592,1.3807511779484056,0.00021306127532425364,14.222024276477669,0.00920768918746127,0.9999960743212629,9.881732755791531e-07
20,0.05,reverse_kl,spcauchy,3,0.06264641511344592,0.00031521553527118467,0.02581069383431732,0.00017254058720399344,-13.465813585637562,0.0027216639467489033,0.0023123332454512515,6.453167192631283e-05,0.022999333605791133,9.194792225931698e-05,5.3333335472416366e-06,4.509249627984499e-06,0.023004666939338374,9.639722254767871e-05,1.076327633770002,0.00026578651536628866,1.2880865692251127,0.0004434877289330739,1.4763293913887872,0.00136879887767059,28.918676010600336,0.024811936255155816,0.9999968163018104,3.810026232866839e-07
20,0.05,reverse_kl,vmf,3,0.1086177810756525,0.00028465776299331687,0.030579067192446307,2.0534735847646424e-05,-13.419842219675358,0.0029833142549527776,0.0006553333175058166,1.5275368629826957e-06,0.024656333533736568,3.467510710241652e-05,3.3333332870218633e-06,1.1547004041896601e-06,0.02465966686702359,3.3561317118460505e-05,1.0741876695960733,0.0002467123787232892,1.2623296270987423,0.00016186769715704282,1.4252128653623197,0.0007204612901192353,19.57635307886338,0.01584059535117154,0.999996138504033,9.628160319605033e-07
20,0.1,forward_kl,powerspherical,3,0.3743982390220899,0.0008296989147843046,0.15390827398296295,0.0001239224636266222,-12.84470749324325,0.0038042443211067137,0.0007779999868944287,5.291487913205411e-06,0.04952566655507932,3.7527443199232524e-05,1.6666666245631252e-06,2.0816659304948093e-06,0.049527333221703884,3.910631535318947e-05,1.1350898939813934,3.662543678995612e-05,1.310435042178937,0.0001240875837730249,1.4551775184993525,0.0005317242486069199,11.443781911623399,0.011074610991987218,0.9999955753640218,1.1213222497061209e-06
20,0.1,forward_kl,spcauchy,3,0.13956073246374806,0.0004442419715962745,0.06709284433456546,0.00043711731566962417,-13.079544999801593,0.00356237648403548,0.004225333376477162,7.946277516354584e-05,0.04607833316549659,4.561203101156946e-05,3.3333332870218633e-06,3.5118845808129295e-06,0.04608166649878361,4.445728693504233e-05,1.1094169145314627,0.00030719441482442286,1.324053027687311,0.00017380481752059926,1.5134924468076074,0.0010857822947094125,25.692447444809034,0.006735927014009484,0.9999963170644218,9.216156964993322e-07
