abs_error,batch_size,benchmark,device,dim,direct_backend,dtype,error_message,eval_time_s,failure_type,family,kappa,kl_value,method,quadrature_nodes,reference_error_message,reference_failure_type,reference_method,reference_nodes,reference_source,reference_success,reference_value,rel_error,rho,seed,series_k_terms,success
0.0,,accuracy,cpu,4,auto,float64,,0.00021487101912498474,,spcauchy,,0.2873655634127135,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,0.2873655634127135,0.0,0.25,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.0002149880165234208,,spcauchy,,0.2873655634127135,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,0.2873655634127135,0.0,0.25,0,,True
0.04019536869432705,,accuracy,cpu,4,auto,float64,,0.00015768600860610604,,spcauchy,,0.24717019471838647,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,0.2873655634127135,0.13987538456930063,0.25,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021891295909881592,,spcauchy,,1.2380462173553428,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,1.2380462173553428,0.0,0.5,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022975599858909845,,spcauchy,,1.2380462173553428,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,1.2380462173553428,0.0,0.5,0,,True
0.07641193273246616,,accuracy,cpu,4,auto,float64,,0.00018198700854554772,,spcauchy,,1.1616342846228767,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,1.2380462173553428,0.06171977399655871,0.5,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.0002245390205644071,,spcauchy,,3.3237857195534035,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,3.3237857195534035,0.0,0.75,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021439598640426993,,spcauchy,,3.3237857195534035,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,3.3237857195534035,0.0,0.75,0,,True
0.03890201692687967,,accuracy,cpu,4,auto,float64,,0.000160002033226192,,spcauchy,,3.284883702626524,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,3.3237857195534035,0.01170412902914412,0.75,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.0002215229906141758,,spcauchy,,6.197193620464953,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,6.197193620464953,0.0,0.9,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.0002137190313078463,,spcauchy,,6.197193620464953,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,6.197193620464953,0.0,0.9,0,,True
0.008076023808634147,,accuracy,cpu,4,auto,float64,,0.00015791301848366857,,spcauchy,,6.1891175966563186,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,6.197193620464953,0.0013031743565288562,0.9,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021674996241927147,,spcauchy,,8.337458702935006,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,8.337458702935006,0.0,0.95,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022860197350382805,,spcauchy,,8.337458702935006,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,8.337458702935006,0.0,0.95,0,,True
0.0021632675500278253,,accuracy,cpu,4,auto,float64,,0.00016320397844538093,,spcauchy,,8.335295435384978,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,8.337458702935006,0.0002594636599838627,0.95,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00023160898126661777,,spcauchy,,11.127378482165101,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,11.127378482165101,0.0,0.98,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022058200556784868,,spcauchy,,11.127378482165101,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,11.127378482165101,0.0,0.98,0,,True
0.00035950514912563847,,accuracy,cpu,4,auto,float64,,0.0001588549930602312,,spcauchy,,11.127018977015975,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,11.127378482165101,3.230816222364066e-05,0.98,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00020948698511347175,,spcauchy,,13.221256641755065,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,13.221256641755065,0.0,0.99,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00020763598149642348,,spcauchy,,13.221256641755065,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,13.221256641755065,0.0,0.99,0,,True
9.097122182133432e-05,,accuracy,cpu,4,auto,float64,,0.00015263695968315005,,spcauchy,,13.221165670533244,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,13.221256641755065,6.880678916256048e-06,0.99,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021464796736836433,,spcauchy,,15.30805744861864,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,15.30805744861864,0.0,0.995,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021150498650968075,,spcauchy,,15.30805744861864,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,15.30805744861864,0.0,0.995,0,,True
2.2878720860930457e-05,,accuracy,cpu,4,auto,float64,,0.00015662197256460786,,spcauchy,,15.30803456989778,laplace,400,,,direct_float64_vectorized,4096,direct_certified,True,15.30805744861864,1.4945541547464584e-06,0.995,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00022007199004292488,,spcauchy,,20.142326170391662,direct,400,,,direct_float64_vectorized,4096,direct_certified,True,20.142326170391662,0.0,0.999,0,,True
0.0,,accuracy,cpu,4,auto,float64,,0.00021235999884083867,,spcauchy,,20.142326170391662,neighbor,400,,,direct_float64_vectorized,4096,direct_certified,True,20.142326170391662,0.0,0.999,0,,True
