abs_error,backward_iqr_s,backward_max_s,backward_mean_s,backward_median_s,backward_min_s,backward_std_s,batch_size,benchmark,device,dim,direct_backend_requested,direct_backend_resolved,dtype,error_message,failure_type,family,forward_iqr_s,forward_max_s,forward_mean_s,forward_median_s,forward_min_s,forward_std_s,kappa,kl_autograd_route,kl_error_threshold_exceeded,kl_iqr_s,kl_mean_s,kl_median_s,kl_std_s,loss_construction_iqr_s,loss_construction_mean_s,loss_construction_median_s,loss_construction_std_s,measure_iters,method,nan_or_inf_grad,nan_or_inf_loss,parameter_iqr_s,parameter_mean_s,parameter_median_s,parameter_std_s,peak_cuda_memory_bytes,power_exponent,quadrature_nodes,reference_source,rel_error,repeat_total_medians_s,repeats,retained_correction_terms,rho,runtime_error,sampling_iqr_s,sampling_mean_s,sampling_median_s,sampling_std_s,seed,series_k_terms,success,timeout_hit,timeout_s,total_iqr_s,total_max_s,total_mean_s,total_median_s,total_min_s,total_std_s,warmup_iters
1.3808010578486574e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.9903833087998075e-07,,1,15,0.9,False,,,,,0,,True,False,5.0,,,,,,,1
0.00018928408479723657,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,2.7284733080148065e-06,,1,,0.9,False,,,,,0,,True,False,5.0,,,,,,,1
8.675212839648339e-06,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,9.471111408210191e-08,,1,15,0.95,False,,,,,0,,True,False,5.0,,,,,,,1
8.675212839648339e-06,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,9.471111408210191e-08,,1,15,0.95,False,,,,,0,,True,False,5.0,,,,,,,1
0.0023280111503396483,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,2.5415921628634246e-05,,1,,0.95,False,,,,,0,,True,False,5.0,,,,,,,1
3.915755311822977e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.250763703066522e-07,,1,15,0.98,False,,,,,0,,True,False,5.0,,,,,,,1
3.915755311822977e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,3.250763703066522e-07,,1,15,0.98,False,,,,,0,,True,False,5.0,,,,,,,1
0.0019368556304755202,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,1.6079298833150597e-05,,1,,0.98,False,,,,,0,,True,False,5.0,,,,,,,1
5.386258411022027e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.790532709186281e-07,,1,15,0.99,False,,,,,0,,True,False,5.0,,,,,,,1
5.386258411022027e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,3.790532709186281e-07,,1,15,0.99,False,,,,,0,,True,False,5.0,,,,,,,1
0.02404067899036022,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.00016918419635703432,,1,,0.99,False,,,,,0,,True,False,5.0,,,,,,,1
5.089119332524206e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,3.1095228164616377e-07,,1,15,0.995,False,,,,,0,,True,False,5.0,,,,,,,1
5.089119332524206e-05,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,3.1095228164616377e-07,,1,15,0.995,False,,,,,0,,True,False,5.0,,,,,,,1
0.09035240486520024,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.0005520657820990158,,1,,0.995,False,,,,,0,,True,False,5.0,,,,,,,1
0.0006196809904679412,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,2.900899287797659e-06,,1,15,0.999,False,,,,,0,,True,False,5.0,,,,,,,1
0.0006196809904679412,,,,,,,32,robustness,cpu,32,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,2.900899287797659e-06,,1,15,0.999,False,,,,,0,,True,False,5.0,,,,,,,1
2.707998483072032,,,,,,,32,robustness,cpu,32,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.012676895034280069,,1,,0.999,False,,,,,0,,True,False,5.0,,,,,,,1
0.0,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,0.0,,1,15,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
0.0,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,0.0,,1,16,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
6.196647882461548e-05,,,,,,,32,robustness,cpu,33,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,61966478.82461548,,1,,0.0,False,,,,,0,,True,False,5.0,,,,,,,1
6.399122984973582e-11,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,1.0311027893073629e-08,,1,15,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
5.186265390234868e-09,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,8.356727511748999e-07,,1,16,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
9.179982626754922e-06,,,,,,,32,robustness,cpu,33,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.001479187962861009,,1,,0.01,False,,,,,0,,True,False,5.0,,,,,,,1
5.144053072392296e-08,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,8.283799855921223e-08,,1,15,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
5.28277688927048e-07,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,8.507195749800271e-07,,1,16,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
0.0008683882338467175,,,,,,,32,robustness,cpu,33,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.0013984214830578497,,1,,0.1,False,,,,,0,,True,False,5.0,,,,,,,1
6.267011398719546e-08,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,1.608241757158913e-08,,1,15,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
2.208437325901258e-06,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,5.667296418686012e-07,,1,16,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
0.00404613903581863,,,,,,,32,robustness,cpu,33,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.0010383210335318277,,1,,0.25,False,,,,,0,,True,False,5.0,,,,,,,1
3.850215080092312e-08,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,2.402320416163783e-09,,1,15,0.5,False,,,,,0,,True,False,5.0,,,,,,,1
1.8688464820115769e-06,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,1.1660564319187678e-07,,1,16,0.5,False,,,,,0,,True,False,5.0,,,,,,,1
0.005647697803908613,,,,,,,32,robustness,cpu,33,auto,,float32,,,spcauchy,,,,,,,,,True,,,,,,,,,1,laplace,False,False,,,,,,,1000,direct_certified,0.00035238498256382427,,1,,0.5,False,,,,,0,,True,False,5.0,,,,,,,1
2.222692359055145e-06,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,direct,False,False,,,,,,,1000,direct_certified,5.519648191888905e-08,,1,15,0.75,False,,,,,0,,True,False,5.0,,,,,,,1
2.222692359055145e-06,,,,,,,32,robustness,cpu,33,auto,vectorized,float32,,,spcauchy,,,,,,,,,False,,,,,,,,,1,neighbor,False,False,,,,,,,1000,direct_certified,5.519648191888905e-08,,1,16,0.75,False,,,,,0,,True,False,5.0,,,,,,,1
