model_family,reported_dim,ambient_latent_dim,seed,selected_epoch,best_eval_recon_loss,best_eval_total_loss,best_eval_kl,concentration_mean,concentration_q95,concentration_max,wall_clock_training_s,final_eval_recon_loss,final_eval_total_loss,final_eval_kl,run_dir
gaussian,5,5,3,40,103.23705687703965,115.81812189802339,12.581064996840079,,,,166.36267500498798,103.23705687703965,115.81812189802339,12.581064996840079,experiments/mnist/outputs/benchmark/gaussian/dim_5/seed_3
gaussian,5,5,2,39,102.16099239301077,114.65334600134742,12.492353511762015,,,,167.3538066779729,102.14097633844689,114.7005824801288,12.55960558637788,experiments/mnist/outputs/benchmark/gaussian/dim_5/seed_2
gaussian,5,5,0,37,101.65796149531498,114.16750383980667,12.509542658359189,,,,169.63471830298658,101.75614388381379,114.29508383062822,12.538939862311642,experiments/mnist/outputs/benchmark/gaussian/dim_5/seed_0
spcauchy,3,4,1,39,116.64985144892826,126.53638332704955,9.886531250386298,0.9693368077039719,0.9785161405801773,0.9869771599769592,172.46303433697904,116.81174758717984,126.5782105651083,9.766462724420089,experiments/mnist/outputs/benchmark/spcauchy/dim_3/seed_1
spcauchy,3,4,4,36,117.00298106519482,126.88128382042993,9.87830274316329,0.9691559540748597,0.9789506196975708,0.9873262047767639,172.57326313800877,116.88819972171059,126.5565583434286,9.668358826939064,experiments/mnist/outputs/benchmark/spcauchy/dim_3/seed_4
spcauchy,3,4,3,40,115.80260776568063,125.63328320467019,9.830674931972842,0.9687987264394761,0.9777752816677093,0.9848862290382385,172.5258938660263,115.80260776568063,125.63328320467019,9.830674931972842,experiments/mnist/outputs/benchmark/spcauchy/dim_3/seed_3
spcauchy,3,4,2,40,117.01142690151552,126.78932856306245,9.77790149254135,0.9682892884790897,0.9772169530391693,0.9836111664772034,171.9968790730345,117.01142690151552,126.78932856306245,9.77790149254135,experiments/mnist/outputs/benchmark/spcauchy/dim_3/seed_2
spcauchy,3,4,0,37,115.73924593382245,125.63237511357174,9.893129348754883,0.9693477178156376,0.9788361340761185,0.9855849146842957,173.61909679399105,115.8709110308297,125.85841707640057,9.987505792062494,experiments/mnist/outputs/benchmark/spcauchy/dim_3/seed_0
spcauchy,2,3,1,38,129.79492284074615,137.43730144259297,7.642379217509982,0.9829816511809826,0.9915488302707672,0.9951351284980774,195.2221719720401,130.0744850062117,137.7429380779025,7.668452232698851,experiments/mnist/outputs/benchmark/spcauchy/dim_2/seed_1
spcauchy,2,3,4,40,130.10502209240877,137.79749211178552,7.692469693437407,0.9834202784836292,0.9914876878261566,0.9968321919441223,195.67570650600828,130.10502209240877,137.79749211178552,7.692469693437407,experiments/mnist/outputs/benchmark/spcauchy/dim_2/seed_4
spcauchy,2,3,3,40,130.8546737477749,138.54345423058618,7.688779849040357,0.9838390272855758,0.9900746643543243,0.995462954044342,195.84751296701143,130.8546737477749,138.54345423058618,7.688779849040357,experiments/mnist/outputs/benchmark/spcauchy/dim_2/seed_3
spcauchy,2,3,2,40,130.49203027652788,138.10118576242954,7.609155654907227,0.9830017985343933,0.9903336256742478,0.994157075881958,195.57846306503052,130.49203027652788,138.10118576242954,7.609155654907227,experiments/mnist/outputs/benchmark/spcauchy/dim_2/seed_2
spcauchy,2,3,0,40,130.18213315553302,137.88529958604258,7.703165235398691,0.9838362312853336,0.9908348321914673,0.9948787689208984,195.87510690197814,130.18213315553302,137.88529958604258,7.703165235398691,experiments/mnist/outputs/benchmark/spcauchy/dim_2/seed_0
spcauchy,10,11,1,40,80.35461850709552,100.73134506805033,20.376726560954808,0.8813174759149551,0.9102029979228973,0.9291683435440063,173.34593425696949,80.35461850709552,100.73134506805033,20.376726560954808,experiments/mnist/outputs/benchmark/spcauchy/dim_10/seed_1
spcauchy,10,11,4,40,80.82973731318607,101.17386617539805,20.344129176079473,0.8809514531373978,0.9091298520565033,0.9320073127746582,173.26107963599497,80.82973731318607,101.17386617539805,20.344129176079473,experiments/mnist/outputs/benchmark/spcauchy/dim_10/seed_4
spcauchy,10,11,3,39,80.06650726704657,100.4931310339819,20.4266239359409,0.8817295924127102,0.9111798793077469,0.9297242164611816,173.5237049050047,80.09725758999208,100.54354906685745,20.446291066423246,experiments/mnist/outputs/benchmark/spcauchy/dim_10/seed_3
spcauchy,10,11,2,40,79.83938695207426,100.31669587726834,20.47730894933773,0.8823109430909157,0.9125974774360657,0.932594895362854,173.27864750102162,79.83938695207426,100.31669587726834,20.47730894933773,experiments/mnist/outputs/benchmark/spcauchy/dim_10/seed_2
spcauchy,10,11,0,40,80.41944006424916,100.91530454611477,20.49586460258387,0.8827844561636448,0.9103194385766983,0.9334428310394287,173.7164174860227,80.41944006424916,100.91530454611477,20.49586460258387,experiments/mnist/outputs/benchmark/spcauchy/dim_10/seed_0
spcauchy,20,21,1,39,74.01355733750742,101.62553878977329,27.611981669558755,0.7743744387447834,0.8282961815595626,0.858963131904602,172.9236634989502,74.38258477705944,101.68806467176992,27.30547953255569,experiments/mnist/outputs/benchmark/spcauchy/dim_20/seed_1
spcauchy,20,21,4,39,74.47846820686436,101.71514351760285,27.236675334882133,0.7702008075475693,0.8281198412179946,0.8692768812179565,173.77852267801063,74.52531616597236,101.64165226417252,27.11633643621131,experiments/mnist/outputs/benchmark/spcauchy/dim_20/seed_4
spcauchy,20,21,3,38,74.64940604680702,101.96256294733361,27.31315723853775,0.7709983033657074,0.8287525504827499,0.8676339983940125,173.6992606120184,74.83763711663741,101.60475390470481,26.767117101934893,experiments/mnist/outputs/benchmark/spcauchy/dim_20/seed_3
spcauchy,20,21,2,36,74.76739753047123,102.0589052997058,27.29150788995284,0.7711132811069489,0.8263258814811706,0.8630583882331848,173.08358145703096,74.89893640445757,102.11976391756082,27.22082780282709,experiments/mnist/outputs/benchmark/spcauchy/dim_20/seed_2
